DATE_TIME,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,PLANT_ID,DAILY_YIELD,PERIOD_GENERATION
2020-05-15 00:00:00,25.184316133333333,22.8575074,0.0,plant1,0.0,0.0
2020-05-15 00:15:00,25.08458866666667,22.761667866666663,0.0,plant1,0.0,0.0
2020-05-15 00:30:00,24.935752600000004,22.59230553333333,0.0,plant1,0.0,0.0
2020-05-15 00:45:00,24.8461304,22.36085213333333,0.0,plant1,0.0,0.0
2020-05-15 01:00:00,24.621525357142858,22.165422642857145,0.0,plant1,0.0,0.0
2020-05-15 01:15:00,24.5360922,21.968570866666667,0.0,plant1,0.0,0.0
2020-05-15 01:30:00,24.638673866666664,22.352925666666668,0.0,plant1,0.0,0.0
2020-05-15 01:45:00,24.87302233333333,23.1609192,0.0,plant1,0.0,0.0
2020-05-15 02:00:00,24.936930466666663,23.026113,0.0,plant1,0.0,0.0
2020-05-15 02:15:00,25.0122476,23.343229266666665,0.0,plant1,0.0,0.0
2020-05-15 02:30:00,25.00514933333333,23.639459266666663,0.0,plant1,0.0,0.0
2020-05-15 02:45:00,24.993019533333328,24.0394858,0.0,plant1,0.0,0.0
2020-05-15 03:00:00,25.016309428571425,24.384135571428573,0.0,plant1,0.0,0.0
2020-05-15 03:15:00,24.985215266666664,24.35150773333333,0.0,plant1,0.0,0.0
2020-05-15 03:30:00,24.93773193333333,24.060296533333336,0.0,plant1,0.0,0.0
2020-05-15 03:45:00,24.87909953333333,23.709794133333336,0.0,plant1,0.0,0.0
2020-05-15 04:00:00,24.6789022,22.58994153333333,0.0,plant1,0.0,0.0
2020-05-15 04:15:00,24.3519308,21.78364253333333,0.0,plant1,0.0,0.0
2020-05-15 04:30:00,24.0626222,21.85252493333333,0.0,plant1,0.0,0.0
2020-05-15 04:45:00,24.013224200000003,22.306315,0.0,plant1,0.0,0.0
2020-05-15 05:00:00,24.1771058,22.551908466666664,0.0,plant1,0.0,0.0
2020-05-15 05:15:00,24.304888,22.979492071428577,0.0,plant1,0.0,0.0
2020-05-15 05:30:00,24.328727266666665,23.452380466666668,0.0,plant1,0.0,0.0
2020-05-15 05:45:00,24.28921113333333,23.09669193333333,0.0008627212413333,plant1,0.0,0.0
2020-05-15 06:00:00,24.088446066666663,22.2067566,0.0058869571866666,plant1,0.0,0.0
2020-05-15 06:15:00,24.01163526666667,22.35345866666667,0.0222816074666666,plant1,2.625,2.625
2020-05-15 06:30:00,23.976731266666665,22.893282,0.0494097238666666,plant1,13.28571429,10.66071429
2020-05-15 06:45:00,24.21899,24.442443933333333,0.0953944536,plant1,34.875,21.58928571
2020-05-15 07:00:00,24.5373984,27.185652866666665,0.1419404433333333,plant1,72.71428571,37.83928571
2020-05-15 07:15:00,24.8159595,28.888477857142853,0.1547126757142856,plant1,116.25,43.53571429
2020-05-15 07:30:00,24.988789866666668,29.6056438,0.1487991533333333,plant1,162.4285714,46.17857140000001
2020-05-15 07:45:00,25.21618033333333,29.547110933333336,0.1447934189333333,plant1,206.375,43.94642859999999
2020-05-15 08:00:00,25.41951306666667,31.412544733333327,0.2016386213333333,plant1,263.5714286,57.19642859999999
2020-05-15 08:15:00,25.95908213333333,35.5287108,0.3457076533333333,plant1,359.875,96.30357140000001
2020-05-15 08:30:00,26.430782066666666,40.3180586,0.4053485726666666,plant1,464.0,104.125
2020-05-15 08:45:00,26.8318298,39.08195373333332,0.3124267953333332,plant1,556.125,92.125
2020-05-15 09:00:00,27.6209698,45.0092326,0.6231526486666666,plant1,688.8571429,132.73214289999999
2020-05-15 09:15:00,27.98836207142857,46.6177065,0.3448840357142857,plant1,811.625,122.76785710000001
2020-05-15 09:30:00,27.516727866666667,39.136326,0.2492484,plant1,886.5714286,74.94642859999999
2020-05-15 09:45:00,27.450107666666668,40.93057693333333,0.5412059773333334,plant1,991.4285714,104.85714280000002
2020-05-15 10:00:00,28.632191866666663,52.5477356,0.670675372,plant1,1161.25,169.8214286
2020-05-15 10:15:00,28.768912733333337,47.633738,0.5722834766666666,plant1,1307.571429,146.32142900000008
2020-05-15 10:30:00,29.35144260000001,49.249723266666656,0.4551483833333333,plant1,1440.0,132.42857099999992
2020-05-15 10:45:00,28.854707866666665,44.048325600000005,0.3619616539999999,plant1,1549.0,109.0
2020-05-15 11:00:00,29.410819333333336,47.68545339999999,0.6365608813333332,plant1,1693.0,144.0
2020-05-15 11:15:00,30.21606228571428,50.006988571428565,0.5857872135714286,plant1,1843.714286,150.7142859999999
2020-05-15 11:30:00,30.2870728,49.8413636,0.5570693833333333,plant1,1994.5,150.7857140000001
2020-05-15 11:45:00,30.811049333333333,47.8363832,0.4679868693333333,plant1,2155.0,160.5
2020-05-15 12:00:00,31.305375066666663,49.183583533333326,0.5149625866666667,plant1,2382.875,227.875
2020-05-15 12:15:00,31.50729773333333,49.84449266666666,0.7878660286666666,plant1,2614.571429,231.69642900000008
2020-05-15 12:30:00,32.147684733333335,52.35325513333333,0.6492476293333334,plant1,2860.0,245.42857099999992
2020-05-15 12:45:00,32.39142040000001,50.631239933333326,0.761243312,plant1,3062.0,202.0
2020-05-15 13:00:00,32.622796071428574,49.610767714285714,0.4160351014285714,plant1,3223.25,161.25
2020-05-15 13:15:00,32.49706446666666,47.01116133333333,0.489243946,plant1,3384.857143,161.60714300000018
2020-05-15 13:30:00,32.52462140000001,46.66986293333333,0.574561224,plant1,3543.0,158.14285699999982
2020-05-15 13:45:00,32.67847086666667,47.516884133333335,0.560985624,plant1,3726.875,183.875
